id,country,short_name,catch_names,translations,health,attack,rarity,enabled,tradeable,emoji_id,wild_card,collection_card,credits,capacity_name,capacity_description,capacity_logic,created_at,economy_id,regime_id,catch_value,catch_reward,quicksell_value
3,Shai Gilgeous-Alexander,SGA,shai gilgeous alexander;sga,,495,495,0.0009,t,t,1442574654605889690,1000013633.jpg,1000013634.jpg,jaffar21,Mid-Range Maestro,"Shai controls the tempo, creating clean mid-range shots even against tight defense, making him one of the hardest players to guard inside the arc.",{},2025-11-24 18:05:35.884024+00,5,6,10,0,400000
4,Giannis Antetokounmpo,Giannis,ga,,490,490,0.001,t,t,1442578528385105941,1000013643.jpg,1000013644.jpg,jaffar21,Physical Force of Nature,"Giannis' combination of size, speed, and strength makes him nearly unstoppable in the paint.",{},2025-11-24 18:19:55.390551+00,6,7,10,0,320000
10,Victor Wembanyama,Wemby,vw,,480,480,0.0015,t,t,1442624856997756968,1000013697.jpg,1000013698.jpg,jaffar21,Astral Tower,"His towering reach gives him automatic zone control, letting him strike or block from angles opponents can’t predict.",{},2025-11-24 21:20:17.071012+00,11,12,10,0,150000
9,Stephen Curry,Curry,steph curry,,465,465,0.0033,t,t,1442612509763698738,1000013686.jpg,1000013689.jpg,jaffar21,Limitless Range,"Can activate Gravity Break, forcing enemies to misstep or lose accuracy because of his constant off-ball movement.",{},2025-11-24 20:33:47.227471+00,10,11,10,0,67000
5,Luka Dončić,Dončić,luka doncic,,485,485,0.0013,t,t,1442599828725956800,1000013651.jpg,1000013652.jpg,jaffar21,Tough Shot Specialist,"Contested step-backs, deep threes, off-balance jumpers — Luka hits them all.",{},2025-11-24 19:42:48.823537+00,3,4,10,0,250000
6,Jalen Brunson,Brunson,,,450,450,0.0045,t,t,1442602298542133278,1000013660.jpg,1000013661.jpg,jaffar21,Elite Footwork & Craft,"Brunson beats defenders with flawless footwork, pivots, and body fakes.",{},2025-11-24 19:55:19.365392+00,7,8,10,0,27000
31,Bam Adebayo,Adebayo,,,370,370,0.016,t,t,1442870162507436073,1000013877.jpg,1000013878.jpg,jaffar21,Quick Hands,"Active in passing lanes, generating steals and disrupting offenses.",{},2025-11-25 13:35:02.816698+00,24,25,10,0,4200
36,De'Aaron Fox,Fox,de aaron fox,,355,355,0.024,t,t,1442889500551549178,1000013895.jpg,1000013896.jpg,jaffar21,Competitive Fire,"Elevates intensity in big games, boosting teammates with energy and leadership.",{},2025-11-25 14:52:14.245525+00,11,12,10,0,3900
27,Jimmy Butler,Butler,,,350,350,0.028,t,t,1442848427967774813,1000013839.jpg,1000013840.jpg,jaffar21,Post-Up Threat,Can back down smaller defenders and score effectively in the paint.,{},2025-11-25 12:08:45.486983+00,10,11,10,0,3800
26,Kyrie Irving,Irving,,,345,345,0.032,t,t,1442847160285794395,1000013834.jpg,1000013837.jpg,jaffar21,Finishing Wizard,"Can score creatively around the rim with floaters, layups, and acrobatic moves.",{},2025-11-25 12:03:08.221924+00,12,13,10,0,3700
69,Desmond Bane,Bane,,,244,244,0.08,t,t,1444433565273030858,1000014382.jpg,1000014383.jpg,jaffar21,Iron Shoulders,"Uses his strength to bully guards. When driving, converts contact into extra power and gains a short “unstoppable gather” window.",{},2025-11-29 21:07:57.84948+00,18,19,10,0,1200
71,Jaden McDaniels,McDaniels,,,240,240,0.087,t,t,1444587617017528320,1000014396.jpg,1000014398.jpg,jaffar21,Wing Fortress,"An elite perimeter stopper who uses his length, anticipation, and footwork to shut down top scorers.",{},2025-11-30 07:19:04.213324+00,9,10,10,0,900
8,Anthony Edwards,Edwards,,,475,475,0.002,t,t,1442610117068587099,1000013678.jpg,1000013679.jpg,jaffar21,Aerial Predator,"When he enters the field, he gains a Massive Power Boost based on his explosiveness and momentum.",{},2025-11-24 20:22:58.877349+00,9,10,10,0,100000
65,Jakob Poeltl,Poeltl,jakob pöltl,,217,217,0.095,t,t,1444067108559519834,1000014300.jpg,1000014301.png,jaffar21,Tip-Out Instinct,"When boxed out, Jakob redirects rebounds to teammates, granting a team possession bonus off missed shots.",{},2025-11-28 20:53:48.119331+00,25,26,10,0,400
62,Reed Sheppard,Sheppard,,,215,215,0.097,t,t,1443879600701706321,1000014235.jpg,1000014233.jpg,jaffar21,Steal Stitch,"Reed reads a ball-handler perfectly, jumping the lane for a high-success steal chance that flips possession instantly.",{},2025-11-28 08:28:33.403433+00,13,14,10,0,300
68,Amen Thompson,Thompson,,,210,210,0.099,t,t,1444350662979620864,1000014353.jpg,1000014354.jpg,jaffar21,Perimeter Disruptor,"With long arms and quick reactions, he applies elite ball pressure, increasing steal and deflection chances.",{},2025-11-29 15:37:17.753698+00,13,14,10,0,200
7,Donovan Mitchell,Mitchell,,,435,435,0.0056,t,t,1442606649482285096,1000013669.jpg,1000013670.jpg,jaffar21,Explosive Scoring Burst,"Mitchell can heat up instantly. His quick first step, strong drives, and deep shooting range allow him to put up points in rapid runs.",{},2025-11-24 20:08:07.455263+00,8,9,10,0,12000
28,Ja Morant,Morant,,,430,430,0.006,t,t,1442863619804238065,1000013857.jpg,1000013863.jpg,jaffar21,Explosive Athlete,Uses elite speed and verticality to blow past defenders and finish above the rim.,{},2025-11-25 13:10:24.456957+00,23,24,10,0,10000
41,Jamal Murray,Murray,,,305,305,0.05,t,t,1442970995953766532,1000013929.jpg,1000013930.jpg,jaffar21,Mirage Dribble,"Shifty hesitations and deceptive crossovers create illusions, making defenders bite on ghosts.",{},2025-11-25 20:15:03.253066+00,4,5,10,0,2800
40,Derrick White,White,,,300,300,0.052,t,t,1442968125208268861,1000013925.jpg,1000013924.jpg,jaffar21,Silent Lockdown,Plays defense so clean and controlled that opponents barely notice he’s taking away their entire game.,{},2025-11-25 20:02:49.284799+00,17,18,10,0,2700
42,Zion Williamson,Williamson,,,295,295,0.054,t,t,1442975857374400572,1000013937.jpg,1000013939.jpg,jaffar21,Bruiser Aura,"A passive pressure field—opponents guarding Zion fatigue 30% faster, increasing the likelihood of defensive mistakes.",{},2025-11-25 20:37:59.732195+00,26,27,10,0,2600
43,Rudy Gobert,Gobert,,,290,290,0.056,t,t,1443111190799581347,1000013952.jpg,1000013953.png,jaffar21,Rebound Clamp,"On missed shots, Gobert locks onto the ball with auto-seal positioning, granting him an unbreakable box-out for one rebound contest.",{},2025-11-26 05:32:37.215356+00,9,10,10,0,2500
49,Jabari Smith Jr,Smith Jr.,jabari smith jr,,265,265,0.067,t,t,1443179820359094434,1000013997.jpg,1000013998.jpg,jaffar21,Rhythm Reset Shot,"If Jabari misses a shot, he automatically recalibrates. His next jumper gets a smooth rhythm buff, reducing the chance of back-to-back bricks.",{},2025-11-26 10:06:43.625025+00,13,14,10,0,1900
52,Anfernee Simons,Simons,,,250,250,0.076,t,t,1443345843762626640,1000014067.jpg,1000014068.jpg,jaffar21,Rhythm Detonator,"Once he hits a tough shot (stepback, pull-up, off-balance), he enters a rhythm spike state, increasing the success of his next difficult attempt.",{},2025-11-26 21:05:34.471743+00,17,18,10,0,1400
57,John Collins,Collins,,,205,205,0.1,t,t,1443854816651771996,1000014206.jpg,1000014205.jpg,jaffar21,Skyhammer,"Collins launches for a violent lob finish, triggering a high-power dunk attack that boosts team momentum for one turn.",{},2025-11-28 07:00:45.118374+00,14,15,10,0,100
33,Jalen Suggs,Suggs,,,385,385,0.0099,t,t,1442884923886145608,1000013885.jpg,1000013886.jpg,jaffar21,On-Ball Menace,"Disrupts ball-handlers with constant pressure, forcing mistakes and bad passes.",{},2025-11-25 14:31:22.897498+00,18,19,10,0,4500
29,Evan Mobley,Mobley,,,380,380,0.01,t,t,1442865633686458490,1000013865.jpg,1000013867.jpg,jaffar21,Agile Big,"Moves with guard-like agility for a player his size, able to switch on pick-and-rolls.",{},2025-11-25 13:16:29.927356+00,8,9,10,0,4400
73,2019-20 JA MORANT (ROTY),Ja,ja morant,,600,600,0.9,f,t,1455584997418340544,IMG_0154.jpeg,IMG_0162.jpeg,jaffar21,JA MORANT.,He became the second Grizzlies player to win the award after receiving 99 first-place votes for a total of 498 points.,{},2025-12-30 15:38:30.46256+00,23,32,10,0,2000000
30,Jaren Jackson Jr,Jackson Jr.,jaren jackson jr,,375,375,0.013,t,t,1442867028770816144,1000013869.jpg,1000013870.jpg,jaffar21,Stretch Big,"Can knock down threes and mid-range shots, stretching defenses from the floor.",{},2025-11-25 13:21:39.36029+00,23,24,10,0,4300
34,Chet Holmgren,Holmgren,,,365,365,0.019,t,t,1442886105203736788,1000013888.jpg,1000013890.jpg,jaffar21,Mobile Big,"Moves laterally like a wing, switching onto guards and holding his own.",{},2025-11-25 14:37:56.659518+00,5,6,10,0,4100
80,Posterized,,,,700,700,0,f,t,1458780241140125748,IMG_0508.jpeg,IMG_0508_2dIU9e6.jpeg,jaffar21,Elevated,"When Ja attacks the rim, the defender is overwhelmed. Defense is nullified for this moment.",{},2026-01-08 11:12:41.608472+00,23,39,10,0,1000000
37,Franz Wagner,Wagner,,,340,340,0.034,t,t,1442891289174474873,1000013898.jpg,1000013900.jpg,jaffar21,EuroCraft,Uses polished European fundamentals and footwork to glide past defenders with ease.,{},2025-11-25 15:01:12.5336+00,18,19,10,0,3600
20,Pascal Siakam,Siakam,,,335,335,0.037,t,t,1442821551312474173,1000013802.jpg,1000013803.jpg,jaffar21,Spinning Predator,"Activates Elite Spin Mastery, slicing through defenses with unpredictable spins and long strides.",{},2025-11-25 10:27:01.484737+00,20,21,10,0,3500
21,Domantas Sabonis,Sabonis,,,330,330,0.039,t,t,1442825338102218803,1000013810.jpg,1000013812.jpg,jaffar21,Bruised-Through Playmaker,"Uses Post Command, backing down defenders with strength, touch, and crafty footwork.",{},2025-11-25 10:41:56.835555+00,21,22,10,0,3400
77,2009 KOBE BRYANT (FMVP),Bryant,kobe bryant,,900,900,0,f,f,1457810380884803768,IMG_0407.jpeg,IMG_0406.jpeg,jaffar21,Mamba Finals,"Boosts scoring and clutch performance in Finals games, reflecting Kobe Bryant’s dominance on the biggest stage.",{},2026-01-05 18:58:15.298666+00,3,36,10,0,100
11,Anthony Davis,Davis,,,400,400,0.0085,t,t,1442626431828885515,1000013706.jpg,1000013707.jpg,jaffar21,Glass Fortress,"His elite shot-blocking becomes Barrier Instinct, creating a protective zone where incoming attacks are weakened or fully deflected.",{},2025-11-24 21:30:17.722113+00,12,13,10,0,4900
16,Jalen Williams,Williams,,,395,395,0.009,t,t,1442808971332292608,1000013760.jpg,1000013762.jpg,jaffar21,Two-Way Force,"Utilizes Explosive Drives, bulldozing through defenders with strength and body control to finish at the rim.",{},2025-11-25 09:31:27.655141+00,5,6,10,0,4700
23,Alperen Şengün,Şengün,alperen sengun,,390,390,0.0095,t,t,1442830235430027306,1000013818.jpg,1000013819.jpg,jaffar21,Artful Anchor,"Activates Footwork Sorcery, using spins, fakes, and crafty pivots to carve through defenders in the paint",{},2025-11-25 10:55:42.712667+00,13,14,10,0,4600
78,LAMINE YAMAL,Yamal,,,60,60,0,f,f,1458004675218640926,IMG_0425.png,IMG_0434.jpeg,jaffar21,Fearless Prodigy,"Slightly boosts dribbling and chance creation, reflecting his confidence and creativity at a young age.",{},2026-01-06 07:54:38.387673+00,,37,10,0,100
81,MBAPPÉ,MBAPPÉ,kylian mbappe;mbappe,,90,90,0,f,f,1456761783070228693,IMG_0530.jpeg,IMG_0529.webp,jaffar21,Inevitable,"Once through on goal, finishing cannot be stopped.",{},2026-01-08 20:32:19.434974+00,,40,10,0,100
74,2024-25 STEPHON CASTLE (ROTY),Castle,stephon castle,,500,500,0.9,f,t,1456000366477840425,IMG_0204.jpeg,IMG_0213.jpeg,jaffar21,LOCKDOWN ASCENSION,"Castle rose rapidly as a perimeter stopper, disrupting offenses, forcing turnovers, and igniting transition plays that defined his ROTY campaign.",{},2025-12-31 19:09:42.956899+00,11,33,10,0,600000
84,2023 NIKOLA JOKIĆ (FMVP),Jokić,nikola jokic,,900,900,0,f,t,1460635337939222772,IMG_0771.jpeg,IMG_0777.jpeg,jaffar21,Inevitable,"Jokić dominated the 2023 Finals with elite efficiency, playmaking, and complete control of the game.",{},2026-01-13 14:06:54.040192+00,4,43,10,0,100
82,MAX VERSTAPPEN,Verstappen,,,90,90,0,f,f,1456761783070228693,IMG_0544.jpeg,IMG_0544_zoACH2o.jpeg,jaffar21,WDC Mentality,Performance improves when starting under pressure.,{},2026-01-08 20:58:33.167269+00,,41,10,0,100
83,2010-11 DERRICK ROSE (MVP),Rose,derrick rose,,900,900,0.00011,f,t,1459222728782512361,IMG_0561.jpeg,IMG_0571.jpeg,jaffar21,22,"At age 22, Rose was named the youngest MVP in NBA history",{},2026-01-09 17:13:07.060361+00,29,42,10,0,7000000
85,GOAT,,,,67,67,0.0001,f,f,1460666063623553056,IMG_0786.jpeg,IMG_0789_3bsQzbg.jpeg,jaffar21,THE REAL GOAT,Thanks for boosting!,{},2026-01-13 16:07:53.609244+00,,44,10,0,0
35,Tyrese Haliburton,Haliburton,,,360,360,0.02,t,t,1442888329447211150,1000013892.jpg,1000013893.jpg,jaffar21,Transition Commander,Pushes the ball up the floor and turns breaks into effortless assists or layups.,{},2025-11-25 14:46:35.993637+00,20,21,10,0,4000
79,2024 JAYSON TATUM (C),Tatum,jayson tatum,,800,800,0.0002,f,t,1458547892733219018,IMG_0484.jpeg,IMG_0484_NgyROCG.jpeg,jaffar21,Champion's Poise,"Tatum played with control and maturity on the biggest stage, leading his team through smart scoring, unselfish playmaking, and committed defense.",{},2026-01-07 19:49:19.034708+00,,38,10,0,2500000
76,2021-22 SCOTTIE BARNES (ROTY),Barnes,scottie barnes,,467,487,0.0007,f,t,1457459099083079932,IMG_0362.jpeg,IMG_0361.jpeg,jaffar21,Versatile Impact,"Boosts all-around stats, including scoring, playmaking, and defense, reflecting Scottie Barnes’ do-it-all rookie season.",{},2026-01-04 19:32:45.218703+00,25,35,10,0,200000
38,Jalen Green,Green,,,325,325,0.04,t,t,1442897050864980079,1000013903.jpg,1000013904.jpg,jaffar21,Skywire Explosive,"Launches off the floor like he’s plugged into a power line, turning routine drives into aerial attacks.",{},2025-11-25 15:21:35.306862+00,16,17,10,0,3300
39,Scottie Barnes,Barnes,,,320,320,0.041,t,t,1442965719628382389,1000013921.jpg,1000013922.jpg,jaffar21,Positionless Pulse,"Shifts seamlessly between roles — point guard, wing, or big — depending on what the moment demands.",{},2025-11-25 19:56:40.272073+00,25,26,10,0,3200
13,Kawhi Leonard,Leonard,,,315,315,0.045,t,t,1442634596918497380,1000013727.jpg,1000013728.jpg,jaffar21,Silent Terminator,"His calm, unreadable presence becomes Cold Precision, letting him make perfect, calculated strikes without giving away intention.",{},2025-11-24 22:01:42.112656+00,14,15,10,0,3100
47,Paul George,George,,,310,310,0.047,t,t,1443132246642130944,1000013979.jpg,1000013980.jpg,jaffar21,Mirror Read,"George perfectly mirrors the offensive player. On drives, he predicts the direction with a copy-read, giving him increased steal and strip success without fouling.",{},2025-11-26 06:57:39.781528+00,19,20,10,0,3000
56,Karl-Anthony Towns,KAT,karl anthony towns,,307,307,0.049,t,t,1443717665624555653,1000014196.jpg,1000014197.jpg,jaffar21,Touch of the Monarch,"His post hooks and fadeaways gain a refined royal soft-touch effect, lowering bounce-off misses and increasing finesse scoring over tight defense",{},2025-11-27 21:54:17.444143+00,7,8,10,0,2900
44,Darius Garland,Garland,,,285,285,0.059,t,t,1443113830568951880,1000013955.jpg,1000013956.jpg,jaffar21,Diamond Drip,"Garland’s handles create angles out of nowhere. Every tight dribble gives him a “precision lane”, increasing the accuracy of his next pass or pull-up.",{},2025-11-26 05:42:31.406409+00,8,9,10,0,2400
45,Damian Lillard,Lillard,,,280,280,0.06,t,t,1443119129484857436,1000013965.jpg,1000013966.jpg,jaffar21,Dame Time,"When the clock is low or the situation gets tight, Lillard enters a clutch-overload state.",{},2025-11-26 06:06:09.334139+00,27,28,10,0,2300
46,LaMelo Ball,Ball,,,275,275,0.061,t,t,1443126170899189901,1000013973.jpg,1000013974.jpg,jaffar21,Portal Pass,"LaMelo temporarily opens a “passing pocket” between defenders. Any pass thrown during this moment becomes a perfect, auto-sync assist opportunity.",{},2025-11-26 06:33:17.849825+00,28,29,10,0,2200
63,OG Anunoby,OG,,,273,273,0.063,t,t,1444018018060472432,1000014275.jpg,1000014277.jpg,jaffar21,Silent Cutter,"OG slips behind defenders unnoticed, activating a high-efficiency rim cut that leads to an easy dunk or layup.",{},2025-11-28 17:56:17.913878+00,7,8,10,0,2100
48,Josh Giddey,Giddey,,,270,270,0.065,t,t,1443177003661398191,1000013993.jpg,1000013995.png,jaffar21,Tempo Glide,"Josh shifts gears smoothly in transition. When he activates this, he gains a speed-flow burst that allows him to manipulate defenders and generate easy kick-outs.",{},2025-11-26 09:53:35.56184+00,29,30,10,0,2000
64,Lauri Markkanen,Markkanen,,,397,397,0.0087,t,t,1444034563516137693,1000014288.jpg,1000014290.jpg,jaffar21,Nordic Sniper,"Markkanen launches a high-arcing three with perfect form, giving a boosted long-range accuracy that’s tough to contest.",{},2025-11-28 18:53:33.379192+00,30,31,10,0,4800
75,2024 JAYLEN BROWN (FMVP),Brown,jaylen brown,,550,550,0.0008,f,t,1457002577379069964,IMG_0300.jpeg,IMG_0301.jpeg,jaffar21,Pressure Proof,"His consistent play, defensive effort (especially on Luka Dončić), and solid stats elevated him above his teammates and opponents",{},2026-01-03 13:30:31.00028+00,17,34,10,0,500000
86,2020-21 LAMELO BALL (ROTY),Ball,lamelo ball,,800,800,0.0075,t,t,1460742320533016640,IMG_0812.jpeg,IMG_0811.jpeg,jaffar21,Instant Spark,"He took over the 2020–21 season with fearless playmaking, highlight creativity, and winning impact, earning Rookie of the Year.",{},2026-01-13 21:14:23.347391+00,28,45,10,0,100
87,2020 LEBRON JAMES (FMVP),LeBron,lebron james,,999,999,0,f,f,1460962502908055563,IMG_0824.jpeg,IMG_0821.jpeg,jaffar21,Total Control,"LeBron dominated the 2020 Finals with elite scoring efficiency, playmaking, and defensive command.",{},2026-01-14 11:44:02.593966+00,3,46,10,0,100
88,2020 ANTHONY DAVIS (C),Davis,anthony davis,,888,888,0.0043,t,t,1460978474532474921,IMG_0830.jpeg,IMG_0832.jpeg,jaffar21,Two-Way Eraser,"Davis defined the championship run by shutting down offenses everywhere on the floor while delivering efficient, momentum-changing scoring when it mattered most.",{},2026-01-14 12:49:53.515659+00,3,47,10,0,100
89,2020 JAVALE MCGEE (C),McGee,javale mcgee,,700,700,0.014,t,t,1461008061920706786,IMG_0841.jpeg,IMG_0839.webp,jaffar21,Energy Shift,"JaVale McGee provided vertical spacing, rim protection, and high-energy minutes during the 2020 championship run, setting the tone with hustle and defensive presence.",{},2026-01-14 14:48:32.198219+00,3,47,10,0,100
50,Brandon Ingram,Ingram,,,260,260,0.069,t,t,1443181594931368067,1000014001.jpg,1000014002.jpg,jaffar21,Quiet Momentum,"When BI hits two buckets in a row, he enters Silent Cook Mode—no animations, but his shot power rises.",{},2025-11-26 10:11:27.743085+00,25,26,10,0,1800
54,Nikola Vučević,Vučević,nikola vucevic,,257,257,0.07,t,t,1443496850295619634,1000014086.jpg,1000014087.jpg,jaffar21,Veteran Timing,"Years of experience give Vučević a patience buff: his pump fakes have increased effectiveness, often pulling defenders out of position for easy shots or fouls.",{},2025-11-27 07:08:51.079752+00,29,30,10,0,1700
55,Trey Murphy III,Murphy III,trey murphy,,256,256,0.071,t,t,1443622417988845750,1000014174.jpg,1000014173.jpg,jaffar21,Gravity Wing,"His presence on the perimeter generates a gravity pull, opening extra driving space for teammates on the weak side.",{},2025-11-27 15:27:31.885156+00,26,27,10,0,1600
51,Herbert Jones,Jones,,,255,255,0.074,t,t,1443236595867062333,1000014010.jpg,1000014011.jpg,jaffar21,Elastic Contest,"Using his long arms and perfect timing, Herb stretches into a late recovery contest that reduces shot accuracy even when seemingly out of the play.",{},2025-11-26 13:49:46.035053+00,26,27,10,0,1500
53,Jalen Duren,Duren,,,245,245,0.079,t,t,1443348935325515849,1000014071.jpg,1000014072.jpg,jaffar21,Rimquake Force,"When Duren goes up strong, he triggers a shockwave dunk effect that drops nearby defenders’ interior defense for the next possession.",{},2025-11-26 21:17:54.137503+00,15,16,10,0,1300
66,Aaron Gordon,Gordon,,,243,243,0.083,t,t,1444301763330052227,1000014340.jpg,1000014341.jpg,jaffar21,Skybound Launcher,"Gordon explodes off two feet with ridiculous power, granting a high-success dunk or alley-oop finish.",{},2025-11-29 12:22:29.730291+00,4,5,10,0,1100
67,Austin Reaves,Reaves,,,241,241,0.085,t,t,1444333893632131164,1000014350.jpg,1000014351.jpg,jaffar21,Clutch Pulse,"In tight moments, Reaves gains increased accuracy and decision-making for one possession.",{},2025-11-29 14:31:40.687885+00,3,4,10,0,1000
58,Aaron Nesmith,Nesmith,,,235,235,0.089,t,t,1443859669822079006,1000014210.jpg,1000014212.jpg,jaffar21,Corner Cannon,Nesmith locks into his favorite spot and unleashes a high-accuracy corner three that spikes team momentum.,{},2025-11-28 07:06:35.238526+00,20,21,10,0,800
59,Jordan Poole,Poole,,,230,230,0.09,t,t,1443870778654195804,1000014219.jpg,1000014220.jpg,jaffar21,Heat Flow,"Once Poole hits a couple shots, he enters a rhythm mode that increases his scoring efficiency for several plays.",{},2025-11-28 07:50:51.701075+00,26,27,10,0,700
60,Josh Hart,Hart,,,225,225,0.092,t,t,1443872389476651210,1000014222.jpg,1000014223.jpg,jaffar21,Heart & Hustle,"Hart flips into maximum-effort mode, giving him boosted speed, rebounding reach, and loose-ball priority for one play",{},2025-11-28 07:55:48.750601+00,7,8,10,0,600
61,RJ Barrett,Barrett,,,220,220,0.094,t,t,1443875190730657883,1000014227.jpg,1000014229.jpg,jaffar21,Maple Drive,"RJ lowers his shoulder and attacks downhill, gaining a powerful left-handed finishing boost through contact.",{},2025-11-28 08:09:05.09535+00,25,26,10,0,500
